id	name	district	lat	long
1055	Weston Middle School	Athena-Weston SD 29RJ	45.8126876	-118.4221499
1056	Weston-McEwen High School	Athena-Weston SD 29RJ	45.8110162	-118.4860807
1057	Central Middle School	Milton-Freewater Unified SD 7	45.9336318	-118.3916797
1060	Stanfield Elementary School	Stanfield SD 61	45.790087	-119.2269518
1061	Stanfield Secondary School	Stanfield SD 61	45.7902779	-119.2239582
1064	McLoughlin High School	Milton-Freewater Unified SD 7	45.9354361	-118.3915249
1066	Central Elementary School	La Grande SD 1	45.3190944	-118.1003658
1068	Greenwood Elementary School	La Grande SD 1	45.3335447	-118.0871059
1069	Island City Elementary School	La Grande SD 1	45.3376786	-118.0470443
1072	La Grande Middle School	La Grande SD 1	45.3216887	-118.0972408
1073	La Grande High School	La Grande SD 1	45.3207359	-118.1012115
1074	Union Elementary School	Union SD 5	45.2068002	-117.8662961
1075	Union High School	Union SD 5	45.2062294	-117.8665216
1079	Imbler Charter School	Imbler SD 11	45.5240322	-118.0194457
1082	Stella Mayfield Elementary School	Elgin SD 23	45.5649987	-117.9214736
1083	Elgin High School	Elgin SD 23	45.5628204	-117.9241649
1084	Imnaha Elementary School	Joseph SD 6	45.5595015	-116.8351513
1087	Joseph Charter School	Joseph SD 6	45.3734293	-116.8788071
1088	Wallowa Elementary School	Wallowa SD 12	45.57090040000001	-117.5325518
1089	Wallowa High School	Wallowa SD 12	45.570897	-117.5327373
1090	Enterprise Elementary School	Enterprise SD 21	45.4248497	-117.272253
1091	Enterprise High School	Enterprise SD 21	45.4248497	-117.272253
1092	Troy Elementary School	Troy SD 54	45.9631809	-117.5179243
1093	Chenowith Elementary School	North Wasco County SD 21	45.6252095	-121.2218611
1095	Mosier Community School	North Wasco County SD 21	45.68294299999999	-121.40066
1097	Colonel Wright Elementary School	North Wasco County SD 21	45.5971971	-121.1984814
1098	Dry Hollow Elementary School	North Wasco County SD 21	45.5868458	-121.1728477
1100	The Dalles Middle School	North Wasco County SD 21		
1101	The Dalles High School	North Wasco County SD 21		
1108	South Wasco County Elementary School	South Wasco County SD 1	45.1756555	-121.0777838
1109	South Wasco County Middle/High School	South Wasco County SD 1	45.1756555	-121.0777838
1110	Lenox Elementary School	Hillsboro SD 1J	45.55803969999999	-122.8942238
1111	West Union Elementary School	Hillsboro SD 1J	45.5770606	-122.9233779
1112	Brookwood Elementary School	Hillsboro SD 1J	45.5147472	-122.9419751
1114	W Verne McKinney Elementary School	Hillsboro SD 1J	45.53032169999999	-122.9955681
1115	Eastwood Elementary School	Hillsboro SD 1J	45.523688	-122.9598538
1116	Minter Bridge Elementary School	Hillsboro SD 1J	45.4972293	-122.963529
1117	Mooberry Elementary School	Hillsboro SD 1J	45.5336947	-122.9719448
1119	W L Henry Elementary School	Hillsboro SD 1J	45.5120251	-122.957021
1120	Banks Elementary School	Banks SD 13	45.6116124	-123.113393
1123	Banks Middle School	Banks SD 13	45.6136601	-123.1140139
1124	Banks High School	Banks SD 13	45.6153127	-123.1137385
1126	Neil Armstrong Middle School	Forest Grove SD 15	45.5159881	-123.0747333
1127	Tom McCall Upper Elementary	Forest Grove SD 15		
1128	Cornelius Elementary School	Forest Grove SD 15	45.521539	-123.0539286
1129	Dilley Elementary School	Forest Grove SD 15	45.4901841	-123.1274349
1130	Echo Shaw Elementary School	Forest Grove SD 15	45.5118738	-123.0617994
1132	Harvey Clarke Elementary School	Forest Grove SD 15	45.52683589999999	-123.1163395
1133	Joseph Gale Elementary School	Forest Grove SD 15	45.5158223	-123.0923142
1134	Forest Grove High School	Forest Grove SD 15	45.534709	-123.1199333
1135	Bridgeport Elementary School	Tigard-Tualatin SD 23J	45.3783398	-122.732584
1136	Charles F Tigard Elementary School	Tigard-Tualatin SD 23J	45.4268442	-122.7822434
1137	Mary Woodward Elementary School	Tigard-Tualatin SD 23J	45.433891	-122.8038488
1138	Durham Elementary School	Tigard-Tualatin SD 23J	45.4025636	-122.759948
1139	James Templeton Elementary School	Tigard-Tualatin SD 23J	45.4124074	-122.7742574
1140	Metzger Elementary School	Tigard-Tualatin SD 23J	45.4456804	-122.7709268
1142	Edward Byrom Elementary School	Tigard-Tualatin SD 23J	45.3624473	-122.7703225
1143	Tualatin Elementary School	Tigard-Tualatin SD 23J	45.37238840000001	-122.776227
1144	Thomas R Fowler Middle School	Tigard-Tualatin SD 23J	45.4317094	-122.7892403
1145	Twality Middle School	Tigard-Tualatin SD 23J	45.4142401	-122.7751642
1146	Tigard High School	Tigard-Tualatin SD 23J	45.40269079999999	-122.7685317
1147	Butternut Creek Elementary School	Hillsboro SD 1J	45.48701699999999	-122.8869522
1148	Indian Hills Elementary School	Hillsboro SD 1J	45.5067612	-122.8952377
1149	Reedville Elementary School	Hillsboro SD 1J	45.5001919	-122.8918618
1150	Ladd Acres Elementary School	Hillsboro SD 1J	45.5021184	-122.9035147
1151	Witch Hazel Elementary School	Hillsboro SD 1J	45.49362929999999	-122.9325515
1152	Groner K-8	Hillsboro SD 1J	45.5067612	-122.8952377
1153	Aloha-Huber Park School	Beaverton SD 48J	45.483953	-122.8538441
1154	Barnes Elementary School	Beaverton SD 48J	45.5058349	-122.8181332
1155	Beaver Acres Elementary School	Beaverton SD 48J	45.5045054	-122.8536004
1156	Bethany Elementary School	Beaverton SD 48J	45.5430037	-122.8579643
1157	Greenway Elementary School	Beaverton SD 48J	45.453771	-122.801605
1158	Cedar Mill Elementary School	Beaverton SD 48J	45.526875	-122.7826834
1159	Chehalem Elementary School	Beaverton SD 48J	45.4758489	-122.8372719
1160	Cooper Mountain Elementary School	Beaverton SD 48J	45.4645272	-122.8507656
1161	Errol Hassell Elementary School	Beaverton SD 48J	45.466584	-122.863246
1162	Elmonica Elementary School	Beaverton SD 48J	45.5157284	-122.8517254
1163	Fir Grove Elementary School	Beaverton SD 48J	45.473726	-122.8182927
1164	Hazeldale Elementary School	Beaverton SD 48J	45.4689477	-122.8832709
1165	Hiteon Elementary School	Beaverton SD 48J	45.4540728	-122.8189851
1166	Kinnaman Elementary School	Beaverton SD 48J	45.4893625	-122.8763133
1168	McKay Elementary School	Beaverton SD 48J	45.465543	-122.7783402
1169	McKinley Elementary School	Beaverton SD 48J	45.53030589999999	-122.8669544
1170	Montclair Elementary School	Beaverton SD 48J	45.4758657	-122.7513036
1171	Oak Hills Elementary School	Beaverton SD 48J	45.5388863	-122.8360763
1172	Raleigh Hills Elementary School	Beaverton SD 48J	45.4822017	-122.7584732
1173	Raleigh Park Elementary School	Beaverton SD 48J	45.4932913	-122.7563861
1174	Ridgewood Elementary School	Beaverton SD 48J	45.5025352	-122.7809084
1175	Rock Creek Elementary School	Beaverton SD 48J	45.5491614	-122.8685893
1176	Terra Linda Elementary School	Beaverton SD 48J	45.5331612	-122.8201651
1177	Vose Elementary School	Beaverton SD 48J	45.4684302	-122.7937567
1178	West Tualatin View Elementary School	Beaverton SD 48J	45.51502139999999	-122.7666224
1179	William Walker Elementary School	Beaverton SD 48J	45.5013465	-122.8001632
1180	Cedar Park Middle School	Beaverton SD 48J	45.5062029	-122.7920607
1181	Five Oaks Middle School	Beaverton SD 48J	45.53070719999999	-122.8534502
1182	Meadow Park Middle School	Beaverton SD 48J	45.5151874	-122.823564
1183	Mountain View Middle School	Beaverton SD 48J	45.47921969999999	-122.8561414
1184	Highland Park Middle School	Beaverton SD 48J	45.4689253	-122.8184768
1185	Whitford Middle School	Beaverton SD 48J	45.4631967	-122.7827836
1186	Aloha High School	Beaverton SD 48J	45.4847243	-122.8690143
1187	Beaverton High School	Beaverton SD 48J	45.48606119999999	-122.8107591
1188	Sunset High School	Beaverton SD 48J	45.5279148	-122.8198935
1189	Farmington View Elementary School	Hillsboro SD 1J	45.4602718	-122.991364
1190	North Plains Elementary School	Hillsboro SD 1J	45.6018794	-123.0065835
1191	Hawks View Elementary School	Sherwood SD 88J	45.35891480000001	-122.8412748
1192	Sherwood Middle School	Sherwood SD 88J	45.3567861	-122.8508373
1193	Sherwood High School	Sherwood SD 88J	45.3569585	-122.8706846
1194	Gaston Elementary School	Gaston SD 511J	45.4350451	-123.1424588
1195	Gaston Jr/Sr High School	Gaston SD 511J	45.4356275	-123.1438171
1196	R A Brown Middle School	Hillsboro SD 1J	45.5093795	-122.9032137
1197	Evergreen Jr High School	Hillsboro SD 1J		
1198	South Meadows Middle School	Hillsboro SD 1J	45.4932953	-122.9335822
1199	J W Poynter Middle School	Hillsboro SD 1J	45.5279922	-122.96595
1200	Glencoe High School	Hillsboro SD 1J	45.5414491	-122.9928832
1201	Hillsboro High School	Hillsboro SD 1J	45.4953412	-122.9581053
1205	Fossil Charter School	Fossil SD 21J	44.9686691	-120.1623797
1208	Amity Elementary School	Amity SD 4J	45.1224843	-123.2034919
1209	Amity Middle School	Amity SD 4J	45.1169155	-123.202475
1210	Amity High School	Amity SD 4J	45.1163019	-123.2020444
1211	Dayton Grade School	Dayton SD 8	45.2184508	-123.0782447
1212	Dayton High School	Dayton SD 8	45.21628940000001	-123.084516
